event,event_date,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Perez vs. Taira,"June 22, 2024",Adam Fugitt,Josh Quinlan,win,S-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 22, 2024",Nate Maness,Jimmy Flick,win,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 22, 2024",Gabriella Fernandes,Carli Judice,win,S-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 22, 2024",Westin Wilson,Jeka Saragih,win,"SUB

      

        Triangle Armbar",1,1:49
UFC Fight Night: Perez vs. Taira,"June 22, 2024",Melquizael Costa,Shayilan Nuerdanbieke,win,"SUB

      

        Rear Naked Choke",3,1:50
UFC Fight Night: Perez vs. Taira,"June 22, 2024",Josefine Knutsson,Julia Polastri,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Nassourdine Imavov,Jared Cannonier,win,"KO/TKO

      

        Punches",4,1:34
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Dominick Reyes,Dustin Jacoby,win,"KO/TKO

      

        Punches",1,2:00
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Raul Rosas Jr.,Ricky Turcios,win,"SUB

      

        Rear Naked Choke",2,2:22
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Brunno Ferreira,Dustin Stoltzfus,win,"KO/TKO

      

        Spinning Back Elbow",1,4:51
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Zachary Reese,Julian Marquez,win,"KO/TKO

      

        Punch",1,0:20
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Punahele Soriano,Miguel Baeza,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Ludovit Klein,Thiago Moises,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Carlos Prates,Charles Radtke,win,"KO/TKO

      

        Knee",1,4:47
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Brad Katona,Jesse Butler,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Montana De La Rosa,Andrea Lee,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Daniel Marcos,John Castaneda,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Denise Gomes,Eduarda Moura,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Taylor Lapilus,Cody Stamann,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 15, 2024",Puja Tomar,Rayanne dos Santos,win,S-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Islam Makhachev,Dustin Poirier,win,"SUB

      

        D'Arce Choke",5,2:42
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Sean Strickland,Paulo Costa,win,S-DEC,5,5:00
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Kevin Holland,Michal Oleksiejczuk,win,"SUB

      

        Armbar",1,1:34
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Niko Price,Alex Morono,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Randy Brown,Elizeu Zaleski dos Santos,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Roman Kopylov,Cesar Almeida,win,S-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Jailton Almeida,Alexandr Romanov,win,"SUB

      

        Rear Naked Choke",1,2:27
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Grant Dawson,Joe Solecki,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Jake Matthews,Phil Rowe,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Bassil Hafez,Mickey Gall,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Ailin Perez,Joselyne Edwards,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 08, 2024",Andre Lima,Mitch Raposo,win,S-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Lerone Murphy,Edson Barboza,win,U-DEC,5,5:00
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Khaos Williams,Carlston Harris,win,"KO/TKO

      

        Punch",1,1:30
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Themba Gorimbo,Ramiz Brahimaj,win,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Adrian Yanez,Vinicius Salvador,win,"KO/TKO

      

        Punches",1,2:47
