fighter,rating,rd,volatility,last_fight,peak_rating
Sergey Morozov,1523.4798728032476,243.68854585766917,282681465.0306573,2022-12-17,1523.4798728032476
Siyar Bahadurzada,1523.405160352197,293.2157009157662,0.01,2019-09-28,1566.4630326624854
Manny Bermudez,1523.3920224253063,236.82028865020752,391777618.9645778,2019-10-18,1569.1785262622093
Kendall Grove,1523.2498882957793,131.0689799029982,52620273.40826639,2011-05-28,1566.7113609472194
Ron Waterman,1523.2419158876337,282.2210391591274,454505909.7502629,2000-04-14,1525.0
Wang Cong,1523.033390875038,315.0,489192795.529127,2024-09-07,1523.033390875038
Abdul-Kerim Edilov,1522.8613374300621,315.0,479902718.7500858,2017-09-02,1522.8613374300621
Carlos Felipe,1522.7633350667,222.53954405924398,185919017.58366638,2021-10-16,1540.199699540125
Tom Duquesnoy,1522.590771915236,275.183439760078,332601144.08794945,2018-03-17,1525.4197264144648
Jake O'Brien,1522.5341007101622,229.35270233759533,267258567.08809507,2009-07-11,1561.0687137048424
Ronnie Lawrence,1522.4884656434747,291.8845564709617,553649231.5059378,2022-07-09,1543.46228455483
Tom Nolan,1522.30985468328,264.5588764793387,308077410.7772308,2024-08-24,1522.30985468328
Javier Vazquez,1522.2875687624967,315.0,747223724.3558445,2011-06-26,1522.2875687624967
Erick Silva,1522.1067579506193,124.69735286992085,46101843.61608361,2017-12-16,1583.131103904719
Armen Petrosyan,1522.0841667518125,248.71929448397916,313333265.3983394,2024-02-10,1541.453750129864
Adam Wieczorek,1522.0366695108905,277.3241621483541,469159167.2701316,2018-11-03,1542.5992693699632
Ibo Aslan,1522.0239787561954,315.0,435960756.4601331,2024-04-06,1522.0239787561954
Trevin Giles,1521.933401828454,169.51870646012,133955053.90436132,2024-02-10,1578.5865579119252
Danny Silva,1521.7241116128741,315.0,709919835.8542918,2024-03-16,1521.7241116128741
Mirko Filipovic,1521.5876494340368,315.0,916259011.4504426,2015-04-11,1545.9277181368325
Wang Guan,1521.480332266192,315.0,694076355.5520861,2017-11-25,1521.480332266192
Charles Radtke,1521.2848347379988,269.0726428691699,446275441.4506912,2024-06-15,1542.123455376236
Angela Hill,1521.2819238056009,53.35771918575674,0.01,2024-09-07,1539.5853606326777
Antoni Hardonk,1521.2792241180825,189.1127237826041,0.01,2009-10-24,1562.6373553199953
Stephanie Luciano,1521.1500225556908,315.0,672894424.5606993,2024-08-17,1521.1500225556908
Aisling Daly,1521.138736705708,273.1986022011277,374197913.4183198,2015-10-24,1525.0
Kiichi Kunimoto,1521.0393016083476,315.0,753587307.6706305,2017-06-10,1561.9676302297735
Justin Tafa,1520.7726081529083,261.1860759647262,0.01,2024-03-23,1541.1992184378196
Alex Garcia,1520.7619405478638,203.3400576777803,0.01,2018-10-27,1561.022731559443
Paddy Holohan,1520.7504674973259,223.9399395368629,238775020.88267648,2015-10-24,1540.3322875490048
Antonio Rodrigo Nogueira,1520.665284774308,315.0,429026707.0218718,2015-08-01,1577.958522710811
Modestas Bukauskas,1520.1105918320181,250.4146303499057,0.01,2024-08-03,1525.0
Rei Tsuruya,1520.0872993555545,315.0,606971589.7235373,2024-07-13,1520.0872993555545
Logan Clark,1520.0,315.0,601707259.8279549,2006-12-13,1520.0
Mark Hughes,1520.0,315.0,601707259.8279549,2000-11-17,1520.0
Yoshiki Takahashi,1520.0,315.0,601707259.8279549,1997-02-07,1520.0
Ramon Taveras,1520.0,315.0,601707259.8279549,2024-01-20,1520.0
Victor Hugo,1520.0,315.0,601707259.8279549,2024-04-13,1520.0
Ben Earwood,1520.0,315.0,601707259.8279549,2000-11-17,1520.0
ChangHo Lee,1520.0,315.0,601707259.8279549,2024-06-29,1520.0
Bryan Barberena,1519.879736549834,128.55145155055843,38314258.48479691,2024-03-16,1595.422911198264
Marc Diakiese,1519.7955611989526,154.63759324728372,77743367.55061932,2023-11-04,1564.9235107068964
Aleksei Kunchenko,1519.7826206240159,267.02762150650125,0.01,2020-03-14,1552.0339096293997
Julia Avila,1519.7281932795647,315.0,684799386.166704,2023-12-02,1541.0644904303253
Nurullo Aliev,1519.7241748439317,315.0,585225103.9384435,2023-02-25,1519.7241748439317
Dennis Hallman,1519.6191273199936,252.22734641590296,458439447.9890126,2011-12-10,1527.453853995859
Rich Attonito,1519.5790369542515,231.0390315212636,341761204.53065974,2011-12-10,1543.563362922196
Bea Malecki,1519.5765070960142,315.0,755115484.0761265,2021-08-21,1541.9814611616373
Rafael Estevam,1519.1974216230594,315.0,554384483.562563,2023-11-18,1519.1974216230594
Dustin Hazelett,1519.1470196157056,184.6204465776549,0.01,2010-12-11,1582.7399267677654
Cung Le,1519.138123813777,315.0,0.01,2014-08-23,1533.797643903399
Cody Haddon,1519.0195885336452,315.0,544161102.679858,2024-10-19,1519.0195885336452
MarQuel Mederos,1519.0137872132761,315.0,543829195.2430266,2024-02-03,1519.0137872132761
Jamal Pogues,1518.973818744417,277.11906923111246,445795066.32619417,2024-02-03,1520.0648842820801
Dave Beneteau,1518.8950649006363,292.028029449651,0.01,1997-10-17,1533.9081464135945
Puja Tomar,1518.8499774443092,315.0,534499040.42908174,2024-06-15,1518.8499774443092
Magomed Gadzhiyasulov,1518.8499774443092,315.0,534499040.42908174,2024-06-29,1518.8499774443092
Tyrone Roberts,1518.7906814958308,315.0,531141606.3219294,2000-06-09,1518.7906814958308
Yancy Medeiros,1518.6317604853584,217.26683757587287,0.01,2021-06-26,1597.486347023906
Steven Siler,1518.5671804368337,159.97974646668104,121881934.99408674,2014-07-26,1584.4259791796371
Elias Silverio,1518.5197736227808,247.65665396549306,451553690.5196978,2015-08-23,1563.1658588792275
TJ Waldburger,1518.5168984209274,208.27199957231292,0.01,2014-02-22,1556.780526503734
Keith Hackney,1518.486245536364,272.3494191795813,0.01,1995-12-16,1537.71668030269
Clint Hester,1518.485192309151,228.2018204897167,282102226.39527,2016-04-23,1585.8966855999279
Alan Patrick,1518.444470638792,315.0,757942709.9556884,2022-05-14,1583.4994888130088
Ronny Markes,1518.3704572320678,283.18474745792287,643221988.14672,2014-03-23,1564.0610535844764
Rich Clementi,1518.356527403012,154.74514426444605,0.01,2009-02-07,1559.8165312623908
Abdul Razak Alhassan,1518.23171188902,234.75188464803546,0.01,2023-10-07,1577.2798264848211
