fighter,peak_rating
Raul Rosas Jr.,1567.8103312453718
Dan Miller,1567.2856592337982
Tagir Ulanbekov,1567.197259879099
Roland Delorme,1567.158208739118
Marcus McGhee,1567.0228717934476
Cameron Saaiman,1566.898517689461
Stephan Bonnar,1566.7280680548686
Kendall Grove,1566.7113609472194
Daniel Marcos,1566.5359357560033
Amir Sadollah,1566.52700872153
Siyar Bahadurzada,1566.4630326624854
Jason MacDonald,1566.4508110021518
Ali Bagautinov,1566.4038580862373
Luana Santos,1566.3259345871143
Joaquim Silva,1566.3005533650294
Roosevelt Roberts,1566.2396982053726
Alessio Sakara,1566.0310011104389
Joshua Burkman,1565.9565253742267
Steve Erceg,1565.7736892602913
Kajan Johnson,1565.6835364813965
Song Kenan,1565.369621296249
Court McGee,1565.2756688899203
Marco Beltran,1565.2627149691982
Nicolae Negumereanu,1565.2095874481263
Farid Basharat,1565.1107788992474
Marc Diakiese,1564.9235107068964
Robert Peralta,1564.7550878753543
Julian Erosa,1564.6552637639672
Maurice Greene,1564.5826482986072
Claude Patrick,1564.4551906649915
Karolina Kowalkiewicz,1564.412630651182
Mike Easton,1564.0822826892625
Asu Almabayev,1564.0703937864057
Ronny Markes,1564.0610535844764
Maryna Moroz,1564.0459657682115
Kyle Kingsbury,1564.017964080568
Jasmine Jasudavicius,1564.0124971631644
Roman Kopylov,1563.8635288650107
Zubaira Tukhugov,1563.790833238653
Jose Quinonez,1563.7398866580252
Themba Gorimbo,1563.7135936453528
Patrick Smith,1563.434349159648
Elias Silverio,1563.1658588792275
Viviane Araujo,1562.8860390130317
Antoni Hardonk,1562.6373553199953
Eliot Marshall,1562.5299018117596
Molly McCann,1562.464655000381
Phil Hawes,1562.3872427370438
Max Griffin,1562.1416617212724
Matt Schnell,1562.0337558516983
Frankie Saenz,1562.0323537401503
Ruslan Magomedov,1561.979056965206
Kiichi Kunimoto,1561.9676302297735
Bill Algeo,1561.9194206302955
Cody Durden,1561.827650611995
David Dvorak,1561.7817654992564
Nate Landwehr,1561.7114129009108
Bethe Correia,1561.6853044067927
Shonie Carter,1561.6228674948243
Murilo Bustamante,1561.4651987032323
Brad Blackburn,1561.456895138813
Alatengheili,1561.3699419130908
Justin Ledet,1561.3390877359057
Jake O'Brien,1561.0687137048424
Jordan Mein,1561.045866270905
Josiane Nunes,1561.04387337276
Alex Garcia,1561.022731559443
Ailin Perez,1561.021993403958
Uros Medic,1560.7216978071324
Tom Lawlor,1560.1650031210963
Andrea Lee,1560.0996715091753
Douglas Silva de Andrade,1559.992655222677
Matt Serra,1559.9152887798402
Rich Clementi,1559.8165312623908
Maurice Smith,1559.696793819535
Javid Basharat,1559.6431193104547
Jeff Molina,1559.46230028349
Victor Henry,1559.455765071888
Ivan Salaverry,1559.3781257240257
