Fighter,Peak Elo
Louis Smolka,1398.49
Ketlen Vieira,1397.9
Chris Curtis,1397.37
Matt Mitrione,1396.28
Tabatha Ricci,1396.19
Casey Kenney,1394.88
Roman Kopylov,1393.78
Edmen Shahbazyan,1393.44
Patrick Cote,1393.14
Alonzo Menifield,1392.86
Chase Hooper,1392.77
Vinicius Oliveira,1392.66
Ludovit Klein,1391.17
Mark Madsen,1390.74
Ed Herman,1389.86
Curtis Millender,1389.77
Mackenzie Dern,1389.73
Bryan Barberena,1388.28
Gregory Rodrigues,1386.61
Thiago Moises,1385.59
Max Griffin,1384.29
Zak Cummings,1383.72
Aleksei Oleinik,1383.44
Matt Lindland,1382.6
Kurt Pellegrino,1382.37
Antonio Rodrigo Nogueira,1381.96
Thiago Silva,1381.72
Tagir Ulanbekov,1381.4
Nate Quarry,1381.29
Carlston Harris,1380.39
Jasmine Jasudavicius,1379.09
Lauren Murphy,1378.72
Nik Lentz,1377.97
Raoni Barcelos,1376.6
CB Dollaway,1375.28
Andre Petroski,1374.84
Adriano Martins,1373.79
Ben Saunders,1373.4
Jonathan Pearce,1373.16
Mike Russow,1372.86
Cristiane Justino,1372.51
Dooho Choi,1372.48
Macy Chiasson,1371.85
Sam Alvey,1371.57
Shamil Abdurakhimov,1371.22
Melquizael Costa,1371.2
Karine Silva,1370.71
Josh Samman,1370.58
Claudio Puelles,1369.98
Cynthia Calvillo,1369.96
Augusto Sakai,1369.58
Marcus McGhee,1369.53
Abel Trujillo,1369.36
Murilo Bustamante,1368.57
Scott Holtzman,1368.32
Nathaniel Wood,1367.91
Tracy Cortez,1366.62
Tyson Griffin,1366.02
Loopy Godinez,1364.03
Thiago Tavares,1363.48
Chas Skelly,1363.23
Brandon Vera,1362.81
Amanda Ribas,1362.41
Jorge Rivera,1361.76
Jennifer Maia,1360.82
Nick Diaz,1359.86
Pat Sabatini,1359.09
Kevin Randleman,1359.01
Roger Huerta,1357.61
Jared Gordon,1357.03
Michelle Waterson-Gomez,1356.35
Josh Thomson,1356.2
Tim Means,1355.85
Davi Ramos,1354.71
Ryan Hall,1354.12
Alan Jouban,1353.51
Marcos Rogerio de Lima,1352.39
Jared Rosholt,1351.8
Ronny Markes,1350.66
Jack Shore,1349.72
Jordan Mein,1348.95
Hyder Amil,1348.35
Kayla Harrison,1347.53
Bruno Silva,1346.76
Alexandr Romanov,1346.7
Christian Rodriguez,1346.56
Da Woon Jung,1345.84
Bo Nickal,1345.61
Mike Perry,1345.54
Ricardo Almeida,1345.27
Shara Magomedov,1345.18
Wilson Gouveia,1345.08
Ian Heinisch,1344.78
Paul Daley,1344.02
Matt Serra,1343.7
Alessio Sakara,1343.5
Karolina Kowalkiewicz,1343.32
Ramazan Emeev,1343.17
Clint Hester,1343.13
Iasmin Lucindo,1342.75
Hakeem Dawodu,1342.54
Waldo Cortes-Acosta,1342.47
Gabriel Gonzaga,1341.67
Iuri Alcantara,1340.34
Seth Baczynski,1340.01
Spencer Fisher,1339.83
Taila Santos,1339.24
Claudia Gadelha,1339.1
Paul Sass,1339.05
Farid Basharat,1338.81
Alan Patrick,1338.73
Rodrigo Nascimento,1338.2
Brett Johns,1337.8
Muhammad Naimov,1337.16
David Loiseau,1335.82
Asu Almabayev,1335.8
Joe Solecki,1335.75
Viviane Araujo,1335.12
Chris Leben,1334.6
Tecia Pennington,1334.06
Mark Kerr,1333.86
Miguel Baeza,1333.45
Reinier de Ridder,1332.16
Mauricio Ruffy,1331.52
JunYong Park,1330.6
Miranda Maverick,1330.43
Ray Borg,1329.91
Brian Stann,1328.94
Felice Herrig,1328.75
Hermes Franca,1328.11
Andre Fili,1327.65
Felipe Lima,1327.51
Rafael Natal,1327.15
Walt Harris,1327.1
Erik Perez,1326.85
Ailin Perez,1326.27
Damir Ismagulov,1326.12
Aaron Simpson,1325.76
Jerry Bohlander,1324.56
Terry Etim,1323.93
Kyle Nelson,1323.56
Niko Price,1322.9
Ricardo Ramos,1322.68
Jacob Volkmann,1322.66
Mick Parkin,1321.94
Renato Sobral,1321.85
Antonio Silva,1321.55
Michael Page,1320.38
Cole Miller,1320.29
Nordine Taleb,1319.99
Edimilson Souza,1318.95
Michael McDonald,1317.76
Danny Castillo,1317.74
Ali Bagautinov,1317.72
Ross Pearson,1317.49
Justin Willis,1317.14
Myktybek Orolbai,1315.55
Chris Wade,1315.15
Chris Camozzi,1315.11
Cezar Ferreira,1315.1
Matthew Semelsberger,1314.46
Abdul Razak Alhassan,1314.34
Rani Yahya,1312.91
Jordan Johnson,1312.03
Gavin Tucker,1311.52
John Moraga,1310.94
Aspen Ladd,1310.84
Jaqueline Amorim,1310.59
Vladimir Matyushenko,1310.36
Dustin Hazelett,1310.36
Jacqueline Cavalcanti,1310.36
Marcio Cruz,1310.07
Marco Beltran,1309.5
Davey Grant,1309.38
Alberto Mina,1309.05
Claude Patrick,1308.93
Wilson Reis,1308.63
Caio Magalhaes,1308.59
Tim Credeur,1308.27
Mike Easton,1307.78
Brendan Schaub,1307.75
Keith Jardine,1307.56
Angela Hill,1306.84
Cathal Pendred,1306.56
David Abbott,1306.1
Makhmud Muradov,1305.31
Gerald Meerschaert,1304.64
Frankie Saenz,1304.42
Trevin Giles,1303.87
Sam Stout,1303.39
Guy Mezger,1302.85
Kyle Noke,1302.21
Esteban Ribovics,1302.08
Kyung Ho Kang,1302.04
Steve Erceg,1300.96
Charlie Brenneman,1300.88
Kajan Johnson,1300.73
Jimmy Crute,1300.71
James Te Huna,1300.5
Joe Pyfer,1300.25
Luke Barnatt,1299.8
Montana De La Rosa,1299.67
Manuel Torres,1298.99
Khama Worthy,1298.86
Stevie Ray,1298.82
Jeff Monson,1298.5
Mateusz Rebecki,1298.17
Joshua Van,1297.72
Blagoy Ivanov,1297.59
Patrick Smith,1297.52
Ruslan Magomedov,1297.49
Rony Jason,1296.76
Stephan Bonnar,1296.59
Johnny Case,1296.56
Miles Johns,1295.04
Jason Lambert,1294.51
Makwan Amirkhani,1294.29
Nina Nunes,1293.77
Steven Siler,1292.88
Kennedy Nzechukwu,1292.28
Matt Schnell,1291.98
John Howard,1291.61
Tom Lawlor,1291.47
Vitor Petrino,1291.09
Nate Maness,1290.31
Mark Hominick,1289.1
Victor Henry,1288.99
Laverne Clark,1288.48
Ivan Salaverry,1288.04
Tom Breese,1287.63
Phil Rowe,1287.48
Mark Bocek,1287.24
Nate Landwehr,1287.24
Luis Pena,1286.96
Joe Soto,1286.65
Shawn Jordan,1286.3
Rodolfo Vieira,1286.14
Rich Clementi,1286.13
Charles Johnson,1286.02
Andrea Lee,1285.84
Thomas Almeida,1285.55
Din Thomas,1285.47
Andre Lima,1284.98
Maurice Smith,1284.94
Elves Brener,1284.78
Rafa Garcia,1284.46
Eddie Wineland,1283.86
Ariane da Silva,1283.82
Joe Duffy,1283.65
Elias Silverio,1283.62
David Onama,1283.5
Josh Culibao,1282.11
John Castaneda,1281.85
Gabriel Benitez,1281.68
Kevin Aguilar,1281.02
Matthew Riddle,1280.07
Casey O'Neill,1279.59
Gillian Robertson,1279.24
Chidi Njokuani,1278.8
Damir Hadzovic,1278.39
Bas Rutten,1278.26
Themba Gorimbo,1278.25
Jessica Eye,1277.76
Mickey Gall,1277.32
Mike Malott,1276.97
Magnus Cedenblad,1276.49
Nazim Sadykhov,1276.34
Ian Freeman,1275.99
Ottman Azaitar,1275.92
Shamil Gaziev,1275.59
Phil Hawes,1275.29
Brian Kelleher,1274.97
Mitch Gagnon,1274.89
Bartosz Fabinski,1274.61
Chad Laprise,1274.11
Lyman Good,1273.9
Yana Santos,1273.75
Philipe Lins,1273.5
Kyle Kingsbury,1273.45
Joaquim Silva,1273.34
Roosevelt Roberts,1272.99
Javid Basharat,1272.8
Daniel Omielanczuk,1272.73
Nick Osipczak,1272.64
Billy Quarantillo,1272.53
Sean Pierson,1272.2
John Makdessi,1272.06
Ion Cutelaba,1271.32
Bogdan Guskov,1270.93
Ivan Menjivar,1270.78
Hacran Dias,1270.27
Bill Algeo,1269.95
Siyar Bahadurzada,1269.83
Terrance McKinney,1269.68
Saidyokub Kakhramonov,1268.69
Marion Reneau,1268.29
Douglas Silva de Andrade,1267.23
Dean Lister,1266.94
Daniel Zellhuber,1266.73
Paige VanZant,1266.71
Jose Quinonez,1266.58
Akira Corassani,1266.56
Mike Davis,1266.34
Eliot Marshall,1266.31
Jamie Varner,1266.11
Sara McMann,1266.02
Norman Parke,1265.75
Luiz Cane,1265.14
Nursulton Ruziboev,1264.87
Joshua Burkman,1264.52
Peter Sobotta,1264.09
Raul Rosas Jr.,1263.15
Uros Medic,1263.06
Vitor Miranda,1262.97
Efrain Escudero,1262.82
TJ Waldburger,1262.68
Adlan Amagov,1261.64
Abus Magomedov,1261.43
Charles Jourdain,1261.35
Marcus Brimage,1260.87
Enrique Barzola,1260.44
Ben Nguyen,1260.29
Jeremy Horn,1260.0
Oban Elliott,1259.71
Tomasz Drwal,1259.65
Raulian Paiva,1259.0
Tsuyoshi Kohsaka,1258.85
Kiichi Kunimoto,1258.21
Diego Brandao,1258.01
Greg Hardy,1257.95
Matthew Lopez,1257.86
Paul Kelly,1257.73
Cat Zingano,1257.73
Tarec Saffiedine,1257.27
Sage Northcutt,1256.79
Jason MacDonald,1256.32
Andrew Craig,1256.31
Amir Sadollah,1256.24
Kenny Robertson,1255.78
Dan Miller,1255.37
Erick Silva,1255.04
Ramazan Temirov,1254.85
JJ Aldrich,1254.66
Aleksei Kunchenko,1254.32
Kendall Grove,1253.5
Brad Blackburn,1253.33
Wanderlei Silva,1252.92
Tatsuya Kawajiri,1252.82
Herbert Burns,1252.48
Scott Ferrozzo,1251.54
Cody Durden,1251.49
Karol Rosa,1251.43
Denise Gomes,1251.41
Payton Talbott,1250.84
Patrick Cummins,1250.51
Gerald Harris,1250.17
Roland Delorme,1249.77
Daniel Roberts,1249.62
Nora Cornolle,1249.58
Mayra Bueno Silva,1249.36
George Sullivan,1249.32
Houston Alexander,1249.26
Jeremy Kennedy,1248.86
Cameron Saaiman,1248.49
Pannie Kianzad,1248.19
Michal Oleksiejczuk,1247.11
Court McGee,1247.0
Valerie Letourneau,1245.61
Chris Padilla,1244.41
Josh Neer,1243.99
Igor Pokrajac,1243.72
Antoni Hardonk,1242.33
Yves Jabouin,1241.77
Taylor Lapilus,1241.54
Manny Bermudez,1241.43
Ricky Glenn,1240.56
Bethe Correia,1240.26
David Dvorak,1240.23
Hyun Gyu Lim,1239.98
Fabio Maldonado,1239.81
Veronica Hardy,1239.74
Josiane Nunes,1239.69
Robert Peralta,1239.61
Loma Lookboonmee,1239.13
Zubaira Tukhugov,1238.71
Guangyou Ning,1238.49
Brandon Thatch,1238.44
Gadzhimurad Antigulov,1238.43
Andre Ewell,1238.26
Desmond Green,1238.07
Pete Williams,1237.83
Remco Pardoel,1236.89
Maryna Moroz,1236.87
Tim Elliott,1236.11
William Knight,1235.97
Paul Buentello,1235.89
Karl Williams,1235.68
James Head,1235.32
Magomed Mustafaev,1234.92
Kevin Burns,1234.8
Jake O'Brien,1234.76
Justin Ledet,1234.55
Marc Diakiese,1234.41
Shonie Carter,1234.3
Eryk Anders,1234.14
Alexis Davis,1233.99
Duane Ludwig,1233.72
Todd Duffee,1233.58
Dennis Hallman,1232.29
Frank Trigg,1231.92
Nick Hein,1231.25
Sam Patterson,1230.05
Gerard Gordeau,1230.0
Dave Beneteau,1230.0
Gary Goodridge,1230.0
Kevin Jackson,1230.0
Jess Liaudin,1230.0
Johnny Bedford,1230.0
Daniel Pineda,1230.0
Martin Buday,1229.71
Krzysztof Soszynski,1229.15
Tyson Pedro,1229.08
Lucas Martins,1228.82
Jon Madsen,1228.17
Chris Duncan,1227.95
Jhonata Diniz,1227.47
Caol Uno,1227.4
Nicolae Negumereanu,1227.26
Godofredo Pepey,1226.99
Alatengheili,1226.89
Danny Roberts,1226.8
Takanori Gomi,1226.67
Da'Mon Blackshear,1226.1
Paul Varelans,1225.99
Andrew Sanchez,1225.86
Francisco Rivera,1225.72
Devin Clark,1225.67
Chance Rencountre,1225.62
Darren Stewart,1224.84
Nurullo Aliev,1224.7
Ikram Aliskerov,1224.67
Cung Le,1224.34
Maximo Blanco,1224.13
Ben Askren,1223.61
Brady Hiestand,1223.26
Karl Roberson,1222.88
Carlos Newton,1222.81
Soa Palelei,1222.74
Drew Fickett,1222.59
Tamdan McCrory,1222.04
Henrique da Silva,1221.54
John Maguire,1221.29
Alexander Yakovlev,1219.86
Steve Jennum,1219.47
Phillip Miller,1218.82
Alex Garcia,1218.74
Danny Silva,1218.59
Ramsey Nijem,1218.33
Marco Polo Reyes,1217.3
Hatsu Hioki,1216.37
Jason Saggo,1215.77
Joanne Wood,1215.75
Johnny Eduardo,1215.33
Chris Cariaso,1214.64
Marc-Andre Barriault,1214.41
Jamie Mullarkey,1214.27
Maurice Greene,1212.71
Trey Waters,1212.11
Dwight Grant,1211.76
Michael Graves,1211.07
Andre Fialho,1211.01
Brian Bowles,1210.69
Erik Koch,1210.69
Lavar Johnson,1210.51
Diego Rivas,1210.1
Jeff Molina,1209.03
Timur Valiev,1208.69
Christos Giagos,1207.84
Ismael Bonfim,1207.82
Tony Gravely,1207.49
Daniel Santos,1207.26
Cesar Almeida,1207.17
Molly McCann,1207.16
Igor Araujo,1206.94
Nick Maximov,1206.89
Devonte Smith,1206.63
Brock Larson,1206.55
Armen Petrosyan,1206.31
Daron Cruickshank,1205.61
Falaniko Vitale,1205.3
Rafael Estevam,1205.15
Mohammed Usman,1204.96
Joe Riggs,1204.62
Sabina Mazo,1204.6
Michael Trizano,1204.31
Mac Danzig,1203.71
Kevin Jousset,1203.64
Mirko Filipovic,1203.17
Marco Tulio,1202.95
Russell Doane,1202.9
Luana Pinheiro,1202.67
Jean Matsumoto,1202.67
Goran Reljic,1202.25
Eric Spicely,1202.13
Ismail Naurdiev,1201.87
Luana Santos,1201.44
Brad Pickett,1201.05
Rinya Nakamura,1200.96
Kenichi Yamamoto,1200.78
Joe Proctor,1200.61
Sam Hughes,1200.6
KJ Noons,1200.51
Brad Katona,1200.5
Darrick Minner,1200.19
Muin Gafurov,1200.15
Melissa Gatto,1199.48
Fredy Serrano,1199.31
Omar Morales,1199.24
Gian Villante,1198.77
David Terrell,1197.84
Hugo Viana,1197.66
Chris Holdsworth,1197.63
Brunno Ferreira,1197.48
Phil Baroni,1196.79
Zach Makovsky,1196.1
Sergey Khandozhko,1195.51
Vanessa Demopoulos,1195.49
Fabiano Iha,1194.35
Jason DeLucia,1193.27
Johnny Rhodes,1193.27
Keith Hackney,1193.27
Joel Sutton,1193.27
Steve Nelmark,1193.27
Pablo Garza,1193.27
Zhang Mingyang,1193.27
Chelsea Chandler,1192.86
Viviane Pereira,1192.66
Nick Ring,1192.64
Charlie Campbell,1192.25
Trevor Smith,1191.94
Song Kenan,1191.69
Jack Marshman,1191.09
Laureano Staropoli,1190.58
SeungWoo Choi,1190.17
Punahele Soriano,1189.63
Nicholas Musoke,1189.49
Jason Brilz,1189.37
Jack Jenkins,1189.17
Oumar Sy,1188.78
Anthony Perosh,1188.58
Poliana Botelho,1188.33
Roan Carneiro,1188.23
Rob Emerson,1187.91
Trey Ogden,1186.61
Elvis Sinosic,1185.56
James Irvin,1185.41
Khalid Murtazaliev,1184.76
Justin Scoggins,1184.43
Brian Melancon,1184.34
Mairon Santos,1184.09
Dhiego Lima,1183.1
Mike van Arsdale,1183.06
David Heath,1183.06
Rich Attonito,1183.06
Chris Beal,1183.06
Don Madge,1183.06
Melsik Baghdasaryan,1183.06
Tony DeSouza,1182.79
Danny Henry,1182.79
Carlos Felipe,1181.67
Mike Wilkinson,1181.2
Dylan Andrews,1180.54
Luke Sanders,1180.36
Piotr Hallmann,1180.01
Julio Arce,1179.71
Clayton Carpenter,1179.5
Gilbert Melendez,1179.48
Jordan Leavitt,1178.93
Jason Day,1177.53
Megan Anderson,1177.14
Leandro Silva,1176.95
Allan Nascimento,1176.66
Ildemar Alcantara,1176.6
Danny Barlow,1176.31
Eddie Sanchez,1176.12
Justin Tafa,1175.85
Fernando Padilla,1175.49
Stephanie Egger,1175.46
