Fighter,Peak Elo
Walt Harris,1038.94
Carlos Felipe,1038.91
Royston Wee,1038.85
Zhang Lipeng,1038.85
Nad Narimani,1038.85
Josefine Knutsson,1038.85
Yazmin Jauregui,1038.75
Brad Katona,1038.53
JeongYeong Lee,1038.52
Justin Scoggins,1038.35
Aleksandra Albu,1038.3
Ariane da Silva,1038.3
Ion Cutelaba,1038.16
Jack Jenkins,1038.01
Michael Chandler,1038.0
Pingyuan Liu,1037.95
Paddy Holohan,1037.88
Antonio Silva,1037.86
Dave Menne,1037.77
Julia Avila,1037.74
Justine Kish,1037.7
Igor Pokrajac,1037.57
Piera Rodriguez,1037.37
Danilo Marques,1037.36
Sijara Eubanks,1037.33
Ronaldo Rodriguez,1037.21
Francimar Barroso,1037.17
Arjan Bhullar,1037.16
Lyman Good,1037.1
Shayilan Nuerdanbieke,1036.25
Darren Stewart,1036.04
Abus Magomedov,1035.69
Sumudaerji,1035.67
Damir Hadzovic,1035.65
Joselyne Edwards,1035.49
Teruto Ishihara,1034.73
Fabiano Iha,1034.63
Blagoy Ivanov,1034.47
Josh Culibao,1034.44
Godofredo Pepey,1034.4
Hacran Dias,1034.37
Jamie Varner,1034.3
Viktoriia Dudakova,1034.25
Carlos Newton,1033.98
David Terrell,1033.88
Cyrille Diabate,1033.62
Parker Porter,1033.48
KJ Noons,1033.47
Jamie Mullarkey,1033.11
Mirko Filipovic,1033.08
Rafa Garcia,1032.76
Ben Askren,1032.59
Devin Clark,1032.2
Ricky Glenn,1032.04
Angela Hill,1031.8
Frank Trigg,1031.78
Joe Riggs,1031.75
Andre Fialho,1031.48
Gian Villante,1031.45
Justin Tafa,1031.27
Eddie Wineland,1031.12
Maximo Blanco,1030.72
Ismail Naurdiev,1029.82
Tarec Saffiedine,1029.62
Christos Giagos,1029.52
Fabio Maldonado,1029.51
Matthew Lopez,1029.46
Megan Anderson,1029.32
Stephanie Egger,1029.17
Falaniko Vitale,1029.12
Raulian Paiva,1029.12
Luigi Fioravanti,1029.09
Drew Fickett,1028.91
Piotr Hallmann,1028.54
Caol Uno,1028.51
Sergey Khandozhko,1028.45
Bogdan Guskov,1028.44
Tamdan McCrory,1028.34
Chance Rencountre,1028.34
Eric Spicely,1028.21
Gan McGee,1028.18
Brian Johnston,1028.13
Reza Madadi,1028.12
Yoshiyuki Yoshida,1028.09
Jacob Malkoun,1027.96
Dwight Grant,1027.77
Shamil Gaziev,1027.72
Felicia Spencer,1027.65
Goran Reljic,1027.63
Reiner de Ridder,1027.53
Felipe Lima,1027.4
Ryan Jimmo,1027.33
Cung Le,1027.32
Jafel Filho,1027.32
Ismael Bonfim,1027.24
Daniel Santos,1027.19
Jack Marshman,1027.15
Liz Carmouche,1027.08
Morgan Charriere,1026.95
Brad Pickett,1026.85
Zak Ottow,1026.67
Trevor Smith,1026.6
Leandro Silva,1026.5
Khalid Murtazaliev,1026.5
