event,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Namajunas vs. Cortez,Evan Elder,Darrius Flowers,win,"SUB

      

        Arm Triangle",2,1:46
UFC 303: Pereira vs. Prochazka 2,Alex Pereira,Jiri Prochazka,win,"KO/TKO

      

        Kick",2,0:13
UFC 303: Pereira vs. Prochazka 2,Diego Lopes,Dan Ige,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,Roman Dolidze,Anthony Smith,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,Macy Chiasson,Mayra Bueno Silva,win,KO/TKO,2,1:58
UFC 303: Pereira vs. Prochazka 2,Ian Machado Garry,Michael Page,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,Joe Pyfer,Marc-Andre Barriault,win,"KO/TKO

      

        Punch",1,1:25
UFC 303: Pereira vs. Prochazka 2,Andre Fili,Cub Swanson,win,S-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,Jean Silva,Charles Jourdain,win,"KO/TKO

      

        Punch",2,1:22
UFC 303: Pereira vs. Prochazka 2,Payton Talbott,Yanis Ghemmouri,win,"KO/TKO

      

        Punch",1,0:19
UFC 303: Pereira vs. Prochazka 2,Gillian Robertson,Michelle Waterson-Gomez,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,Martin Buday,Andrei Arlovski,win,S-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,Rei Tsuruya,Carlos Hernandez,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,Vinicius Oliveira,Ricky Simon,win,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,Robert Whittaker,Ikram Aliskerov,win,"KO/TKO

      

        Punch",1,1:49
UFC Fight Night: Whittaker vs. Aliskerov,Alexander Volkov,Sergei Pavlovich,win,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,Kelvin Gastelum,Daniel Rodriguez,win,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,Shara Magomedov,Antonio Trocoli,win,"KO/TKO

      

        Punches",3,2:27
UFC Fight Night: Whittaker vs. Aliskerov,Volkan Oezdemir,Johnny Walker,win,"KO/TKO

      

        Punch",1,2:28
UFC Fight Night: Whittaker vs. Aliskerov,Nasrat Haqparast,Jared Gordon,win,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,Felipe Lima,Muhammad Naimov,win,"SUB

      

        Rear Naked Choke",3,1:15
UFC Fight Night: Whittaker vs. Aliskerov,Rinat Fakhretdinov,Nicolas Dalby,win,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,Muin Gafurov,Kyung Ho Kang,win,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,Magomed Gadzhiyasulov,Brendson Ribeiro,win,M-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,ChangHo Lee,Xiao Long,win,S-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,Tatsuro Taira,Alex Perez,win,KO/TKO,2,2:59
UFC Fight Night: Perez vs. Taira,Miles Johns,Douglas Silva de Andrade,win,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,Lucas Almeida,Timmy Cuamba,win,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,Brady Hiestand,Garrett Armfield,win,"SUB

      

        Rear Naked Choke",3,1:52
UFC Fight Night: Perez vs. Taira,Asu Almabayev,Jose Johnson,win,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,Adam Fugitt,Josh Quinlan,win,S-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,Nate Maness,Jimmy Flick,win,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,Gabriella Fernandes,Carli Judice,win,S-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,Westin Wilson,Jeka Saragih,win,"SUB

      

        Triangle Armbar",1,1:49
