Fighter,Peak Elo
Karol Rosa,1254.08
Gillian Robertson,1253.92
Joe Duffy,1253.62
Joshua Burkman,1253.56
Shawn Jordan,1253.37
Damir Hadzovic,1253.08
Magnus Cedenblad,1252.95
Luis Pena,1252.91
Bill Algeo,1252.85
Tom Breese,1252.56
Tarec Saffiedine,1252.48
Rafa Garcia,1252.37
Jeremy Horn,1251.67
Mike Davis,1251.61
Mickey Gall,1251.4
Daniel Omielanczuk,1250.26
Zubaira Tukhugov,1249.95
Rodolfo Vieira,1249.8
Dean Lister,1249.73
Paul Kelly,1249.44
Mitch Gagnon,1249.32
JJ Aldrich,1248.91
Raulian Paiva,1248.4
Douglas Silva de Andrade,1248.24
Paige VanZant,1248.05
Kiichi Kunimoto,1247.86
Sage Northcutt,1247.76
Charles Jourdain,1247.52
Saidyokub Kakhramonov,1247.06
Ian Freeman,1247.02
Ivan Salaverry,1246.94
Peter Sobotta,1246.75
Phil Rowe,1246.73
Brian Kelleher,1246.39
Tom Lawlor,1246.31
Mike Malott,1246.27
Iasmin Lucindo,1246.01
Jeremy Kennedy,1245.82
Tsuyoshi Kohsaka,1245.55
Brad Blackburn,1245.41
Vinicius Oliveira,1245.39
Mateusz Rebecki,1244.22
Andre Lima,1243.07
Valerie Letourneau,1242.29
Tatsuya Kawajiri,1242.06
Amir Sadollah,1241.66
Waldo Cortes-Acosta,1241.28
Yves Jabouin,1241.12
Ivan Menjivar,1240.79
Nick Osipczak,1240.41
Sara McMann,1239.86
Ben Nguyen,1239.83
Patrick Cummins,1239.8
Terrance McKinney,1239.78
Josh Culibao,1238.54
Jamie Varner,1238.41
Veronica Hardy,1238.2
Daniel Zellhuber,1237.59
Dan Miller,1236.94
Diego Brandao,1236.55
Efrain Escudero,1236.1
Ion Cutelaba,1236.09
Cody Durden,1235.98
Luiz Cane,1235.2
David Dvorak,1235.19
Kenny Robertson,1234.77
Roman Kopylov,1234.68
Lyman Good,1234.16
Adlan Amagov,1234.1
Andre Ewell,1233.87
Greg Hardy,1233.66
Tim Elliott,1233.61
Alexis Davis,1233.61
Erick Silva,1233.56
Scott Ferrozzo,1233.1
Vitor Miranda,1232.99
William Knight,1232.83
Ottman Azaitar,1232.54
Cameron Saaiman,1232.49
Bethe Correia,1232.4
Kendall Grove,1232.37
Michael Graves,1232.12
Roland Delorme,1231.94
Taylor Lapilus,1231.77
Daniel Roberts,1231.62
TJ Waldburger,1231.2
Jason MacDonald,1231.11
Nick Hein,1231.06
Uros Medic,1230.83
Matthew Lopez,1230.82
Andrew Craig,1230.54
Nora Cornolle,1230.24
Jasmine Jasudavicius,1229.54
George Sullivan,1229.39
Loma Lookboonmee,1229.3
Duane Ludwig,1228.85
Charles Johnson,1228.15
Court McGee,1228.07
Martin Buday,1227.57
Desmond Green,1226.94
Karl Williams,1226.77
Devin Clark,1226.49
Tomasz Drwal,1226.38
Youssef Zalal,1226.34
Shonie Carter,1226.17
Jake O'Brien,1226.17
Gerald Harris,1226.17
Justin Ledet,1226.17
Andrew Sanchez,1225.92
Jon Madsen,1225.34
Danny Roberts,1225.29
Siyar Bahadurzada,1225.27
Robert Peralta,1225.15
James Head,1224.21
Josiane Nunes,1224.12
Raul Rosas Jr.,1223.0
Payton Talbott,1222.88
Cat Zingano,1222.64
Bo Nickal,1221.89
Nicolae Negumereanu,1220.82
Guangyou Ning,1220.43
Ailin Perez,1220.3
Maryna Moroz,1219.97
David Onama,1219.89
Fabio Maldonado,1219.43
Herbert Burns,1218.35
Houston Alexander,1218.12
Nursulton Ruziboev,1218.01
Jhonata Diniz,1217.59
Michal Oleksiejczuk,1217.4
Manny Bermudez,1215.21
Alex Garcia,1215.18
Hyun Gyu Lim,1215.06
Chris Cariaso,1214.79
Wanderlei Silva,1214.67
Karl Roberson,1214.47
Marc Diakiese,1214.01
Chance Rencountre,1212.85
Dennis Hallman,1210.49
Igor Pokrajac,1210.43
Antoni Hardonk,1210.35
Timur Valiev,1209.45
Todd Duffee,1209.44
Trey Waters,1209.14
Remco Pardoel,1208.78
Paul Buentello,1208.78
Hatsu Hioki,1208.44
Brandon Thatch,1208.43
Ramsey Nijem,1208.15
Gadzhimurad Antigulov,1207.92
Marion Reneau,1207.85
John Maguire,1207.48
Darren Stewart,1207.32
Kevin Burns,1207.24
Pete Williams,1206.89
Krzysztof Soszynski,1206.56
Takanori Gomi,1205.99
Igor Araujo,1205.21
Lucas Martins,1205.01
Francisco Rivera,1204.73
Chase Hooper,1204.63
Joanne Wood,1204.27
Luana Pinheiro,1204.11
Magomed Mustafaev,1203.92
Marco Polo Reyes,1203.63
Ikram Aliskerov,1202.77
Brad Katona,1202.53
Cung Le,1202.22
Jason Saggo,1202.0
Omar Morales,1201.8
Diego Rivas,1201.61
Nick Maximov,1201.4
Josh Neer,1201.28
Frank Trigg,1201.07
Maximo Blanco,1201.01
Armen Petrosyan,1200.59
Maurice Greene,1200.27
Godofredo Pepey,1200.14
Alatengheili,1200.14
Ismael Bonfim,1200.11
Gerard Gordeau,1200.0
Dave Beneteau,1200.0
Gary Goodridge,1200.0
Kevin Jackson,1200.0
Jess Liaudin,1200.0
Brian Bowles,1200.0
Erik Koch,1200.0
Johnny Bedford,1200.0
Daniel Pineda,1200.0
Michael Trizano,1200.0
Jeff Molina,1199.31
Shamil Gaziev,1198.97
Russell Doane,1198.91
Phillip Miller,1198.73
Jamie Mullarkey,1198.42
Alexander Yakovlev,1198.39
Paul Varelans,1197.69
Eryk Anders,1197.39
Dwight Grant,1197.34
Vanessa Demopoulos,1197.13
Mohammed Usman,1196.94
Viviane Pereira,1196.81
Sabina Mazo,1196.62
Brady Hiestand,1196.48
Soa Palelei,1196.21
Marc-Andre Barriault,1195.16
Henrique da Silva,1194.72
Tyson Pedro,1194.3
Kevin Jousset,1193.74
Mayra Bueno Silva,1193.72
Tony Gravely,1193.6
Ben Askren,1193.49
Steve Jennum,1192.75
Laureano Staropoli,1192.71
Joshua Van,1192.55
Trevor Smith,1192.16
KJ Noons,1192.1
Ricky Glenn,1191.54
Rinya Nakamura,1191.39
Jack Jenkins,1191.33
Zach Makovsky,1190.93
Chris Holdsworth,1190.3
Ismail Naurdiev,1189.89
Nazim Sadykhov,1189.36
Darrick Minner,1188.46
Devonte Smith,1188.42
Luana Santos,1187.66
Brock Larson,1186.75
Bogdan Guskov,1185.92
Marcus McGhee,1185.25
Daron Cruickshank,1185.08
Dhiego Lima,1184.72
Chris Duncan,1184.57
Joe Proctor,1184.45
Carlos Felipe,1183.71
Molly McCann,1183.64
Mac Danzig,1183.34
Justin Scoggins,1183.1
Carlos Newton,1183.07
Oban Elliott,1182.88
Michael Page,1182.76
Tamdan McCrory,1182.64
Drew Fickett,1182.34
Joe Riggs,1182.05
Kenichi Yamamoto,1181.44
Johnny Eduardo,1181.38
Daniel Santos,1181.12
Charlie Campbell,1181.09
Caol Uno,1180.86
Lavar Johnson,1180.68
Jason Brilz,1180.42
Nick Ring,1180.25
Andre Fialho,1180.25
Phil Baroni,1179.82
Oumar Sy,1179.75
Hugo Viana,1179.57
Chelsea Chandler,1179.14
Fredy Serrano,1177.36
David Terrell,1177.22
Falaniko Vitale,1177.15
Gilbert Melendez,1176.69
Trey Ogden,1176.6
Nicholas Musoke,1176.53
Sheymon Moraes,1176.35
Brad Pickett,1176.22
Song Kenan,1175.58
Poliana Botelho,1175.36
Sergey Khandozhko,1175.24
Zak Ottow,1175.21
Jessica-Rose Clark,1175.16
Melissa Gatto,1175.08
SeungWoo Choi,1174.34
Chidi Njokuani,1173.5
Themba Gorimbo,1173.04
Kayla Harrison,1172.91
Christos Giagos,1172.49
Felipe Lima,1172.23
Eric Spicely,1172.19
Sergey Morozov,1172.03
Jason DeLucia,1171.99
Johnny Rhodes,1171.99
Keith Hackney,1171.99
Joel Sutton,1171.99
Steve Nelmark,1171.99
Mike van Arsdale,1171.99
Tony DeSouza,1171.99
David Heath,1171.99
Rich Attonito,1171.99
Pablo Garza,1171.99
Royston Wee,1171.99
Zhang Lipeng,1171.99
Chris Beal,1171.99
Danny Henry,1171.99
Nad Narimani,1171.99
Don Madge,1171.99
Melsik Baghdasaryan,1171.99
Josefine Knutsson,1171.99
Brunno Ferreira,1171.62
Punahele Soriano,1170.43
Goran Reljic,1169.89
Roan Carneiro,1169.68
Arjan Bhullar,1169.68
Gian Villante,1169.67
Leandro Silva,1169.66
Neil Seery,1169.33
Hyder Amil,1169.19
James Irvin,1168.73
Lina Lansberg,1168.73
Mirko Filipovic,1168.53
Piera Rodriguez,1168.47
Liz Carmouche,1168.38
Rob Emerson,1166.63
Ildemar Alcantara,1166.54
Shane Nelson,1166.24
Julio Arce,1166.02
Ronnie Lawrence,1165.64
Dylan Andrews,1165.27
Mounir Lazzez,1165.15
Danny Barlow,1164.82
Fabiano Iha,1164.46
Felipe Arantes,1164.18
Jordan Leavitt,1162.4
Jack Marshman,1162.19
Francimar Barroso,1162.0
Will Brooks,1161.47
Dave Menne,1160.67
Khalid Murtazaliev,1160.34
Pingyuan Liu,1160.15
Jacob Malkoun,1159.43
Allan Nascimento,1159.22
