Fighter,Elo Rating
Julia Avila,1010.91
Viktoriia Dudakova,1010.91
Ronny Markes,1010.76
Da'Mon Blackshear,1010.6
DeAnna Bennett,1010.0
Steven Siler,1009.83
Alex Garcia,1009.7
Cung Le,1009.49
Ildemar Alcantara,1009.47
Mike Perry,1009.34
Sedriques Dumas,1009.19
Keith Hackney,1009.17
Ian Freeman,1009.17
Alessandro Costa,1008.74
Falaniko Vitale,1008.52
Andrei Arlovski,1008.21
Ron Waterman,1008.19
Marcio Cruz,1008.19
Dennis Hallman,1008.06
Amir Sadollah,1008.03
Nate Marquardt,1007.92
Jimi Manuwa,1007.91
Diego Nunes,1007.86
Gabriella Fernandes,1007.66
Gary Goodridge,1007.44
Marc Diakiese,1007.31
Yazmin Jauregui,1007.21
Luis Saldana,1006.83
Tresean Gore,1006.81
Gan McGee,1006.74
Yana Santos,1006.71
BJ Penn,1006.68
Song Kenan,1006.56
Modestas Bukauskas,1006.36
Rich Clementi,1006.1
Kendall Grove,1006.09
Antonio Carvalho,1006.06
Ramiz Brahimaj,1006.0
Jutaro Nakao,1005.5
Alan Patrick,1005.25
Clint Hester,1005.11
Antoni Hardonk,1005.05
Paul Buentello,1004.81
Melquizael Costa,1004.73
Dan Christison,1004.63
Jason Saggo,1004.48
Stefan Struve,1004.47
Michael Johnson,1004.47
Mike Wilkinson,1004.33
Jose Quinonez,1004.33
Chance Rencountre,1004.33
Brandon Vera,1004.32
Karolina Kowalkiewicz,1004.22
TJ Waldburger,1004.08
Chris Cariaso,1003.92
Josh Thomson,1003.88
Jai Herbert,1003.8
Tony Kelley,1003.78
Rony Jason,1003.58
Lavar Johnson,1003.5
Joe Charles,1003.47
Irina Alekseeva,1003.41
Xiao Long,1003.38
Chelsea Chandler,1003.24
Thomas Petersen,1003.08
Julia Polastri,1003.07
Brian Melancon,1002.96
Ryan Janes,1002.96
Geza Kalman,1002.94
Erik Koch,1002.92
Clay Guida,1002.87
Bill Algeo,1002.81
Bruna Brasil,1002.81
Dwayne Cason,1002.74
Buddy Roberts,1002.7
Adam Fugitt,1002.64
Amaury Bitetti,1002.57
Tomasz Drwal,1002.55
Guram Kutateladze,1002.5
Dave Beneteau,1002.47
Victor Hugo,1002.42
Zak Ottow,1002.38
Dione Barbosa,1002.35
Kaue Fernandes,1002.28
Michal Oleksiejczuk,1002.08
Mike van Arsdale,1002.07
Shinsho Anzai,1002.06
Ben Askren,1001.98
Da Woon Jung,1001.88
John Lewis,1001.82
Tanner Boser,1001.82
Sultan Aliev,1001.79
Troy Mandaloniz,1001.76
Abdul Razak Alhassan,1001.73
Molly McCann,1001.67
Brianna Fortino,1001.56
Nick Ring,1001.54
Tai Bowden,1001.52
Lance Gibson,1001.42
Billy Ray Goff,1001.38
Joe Moreira,1001.32
Nick Sanzo,1001.24
Junie Browning,1001.07
Lucas Almeida,1001.06
Jesus Pinedo,1001.05
Cheyanne Vlismas,1001.05
Jose Torres,1001.04
Serhiy Sidey,1001.04
Dan Cramer,1001.01
Eddie Yagin,1000.93
Lance Benoist,1000.92
Nicco Montano,1000.85
Joe Stevenson,1000.81
Galore Bofando,1000.73
Semmy Schilt,1000.62
Guangyou Ning,1000.49
Wesley Correira,1000.43
Valter Walker,1000.37
Travis Fulton,1000.3
Ricardo Abreu,1000.29
Tedd Williams,1000.23
James Wilks,1000.23
Patrick Walsh,1000.17
Jack Nilson,1000.1
Brad Kohler,1000.1
Sai Wang,1000.07
Mitch Gagnon,1000.05
Orlando Wiet,1000.0
Todd Medina,1000.0
Steven Graham,1000.0
Mark Robinson,1000.0
Ron Faircloth,1000.0
Anthony Torres,1000.0
Roman Mitichyan,1000.0
Nate Loughran,1000.0
Mackens Semerzier,1000.0
Pedro Nobre,1000.0
Robert Drysdale,1000.0
Antonina Shevchenko,1000.0
Hamdy Abdelwahab,1000.0
Joe Slick,999.98
Montserrat Rendon,999.96
Nick Thompson,999.86
Kenny Robertson,999.86
Hunter Azure,999.85
Shauna Bannon,999.84
Kevin Jackson,999.83
Jonathan Meunier,999.82
Joe Duffy,999.79
Miguel Torres,999.76
Keith Rockel,999.75
Katsuhisa Fujii,999.71
Jason DeLucia,999.7
Chris Clements,999.7
Waylon Lowe,999.69
Ariane da Silva,999.62
Luke Barnatt,999.51
Abubakar Nurmagomedov,999.42
Dan Bobish,999.39
Viviane Pereira,999.37
Tony Gravely,999.37
Evan Elder,999.31
Hector Sandoval,999.28
Justin McCully,999.18
Loik Radzhabov,999.18
Sirwan Kakai,999.17
Diego Rivas,999.11
Sam Hughes,999.08
Chris Kelades,999.06
Albert Duraev,999.05
Daria Zhelezniakova,999.03
Nah-Shon Burrell,998.99
Mirko Filipovic,998.94
Mike Nickels,998.93
Tony Fryklund,998.91
Talita Alencar,998.85
Andrei Semenov,998.8
Ange Loosa,998.72
Pascal Krauss,998.7
Mike Ciesnolevicz,998.67
Fredy Serrano,998.62
Scott Morris,998.58
Nick Denis,998.58
Melissa Martinez,998.53
Scott Bessac,998.52
Tereza Bleda,998.49
Roberto Traven,998.48
War Machine,998.48
Anying Wang,998.48
Benji Radach,998.44
Mounir Lazzez,998.44
Dustin Hazelett,998.25
Erick Silva,998.2
Armen Petrosyan,998.1
Paul Jones,998.02
Antonio Rodrigo Nogueira,998.02
John Gunther,998.02
Yancy Medeiros,997.85
Veronica Hardy,997.8
Cole Miller,997.78
Naoki Inoue,997.72
Ian Heinisch,997.72
Francis Marshall,997.66
Jarred Brooks,997.63
Cody Stamann,997.59
Darren Uyenoyama,997.47
Danny Castillo,997.46
Carlos Hernandez,997.45
Ken Stone,997.4
Gokhan Saki,997.37
Sijara Eubanks,997.35
