event,date,fighter_1,fighter_2,weight,result,method,round,time
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",King Green,Daniel Zellhuber,Lightweight,win,"KO/TKO

      

        Punches",2,4:55
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",Edgar Chairez,Felipe Bunes,Flyweight,win,S-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",Imanol Rodriguez,Kevin Borjas,Flyweight,win,"KO/TKO

      

        Punch",2,4:21
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",Santiago Luna,Angel Pacheco,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",Ryan Gandra,Jose Daniel Medina,Middleweight,win,"KO/TKO

      

        Punches",1,0:41
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",Ailin Perez,Macy Chiasson,Women's Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",Cristian Quinonez,Kris Moutinho,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",Javier Reyes,Douglas Silva de Andrade,Featherweight,win,"KO/TKO

      

        Punches",1,4:59
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",Regina Tarin,Ernesta Kareckaite,Catch Weight,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",Francis Marshall,Erik Silva,Featherweight,win,"SUB

      

        Rear Naked Choke",1,2:29
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",Damian Pinas,Wes Schultz,Middleweight,win,"KO/TKO

      

        Punch",1,2:30
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",Sean Strickland,Anthony Hernandez,Middleweight,win,"KO/TKO

      

        Punches",3,2:23
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",Uros Medic,Geoff Neal,Welterweight,win,"KO/TKO

      

        Punch",1,1:19
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",Melquizael Costa,Dan Ige,Featherweight,win,"KO/TKO

      

        Spinning Back Kick",1,4:56
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",Serghei Spivac,Ante Delija,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",Jacobe Smith,Josiah Harrell,Welterweight,win,"KO/TKO

      

        Punches",1,3:01
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",Michel Pereira,Zach Reese,Middleweight,win,S-DEC,3,5:00
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",Carlos Leal,Chidi Njokuani,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",Ode Osbourne,Alibi Idiris,Flyweight,"nc


nc",Overturned,3,5:00
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",Alden Coria,Luis Gurule,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",Joselyne Edwards,Nora Cornolle,Women's Bantamweight,win,"SUB

      

        Rear Naked Choke",2,2:44
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",Punahele Soriano,Ramiz Brahimaj,Welterweight,win,U-DEC,3,5:00
