Fighter,Elo Rating
Tainara Lisboa,1038.05
Lorenz Larkin,1038.02
Jacob Volkmann,1037.96
Johnny Walker,1037.94
Hyder Amil,1037.93
Ovince Saint Preux,1037.81
Javid Basharat,1037.76
Alex Hunter,1037.7
Brock Lesnar,1037.68
Chris Padilla,1037.67
Jeremy Kennedy,1037.54
Desmond Green,1037.5
Alberto Mina,1037.35
Makhmud Muradov,1037.1
Viscardi Andrade,1036.85
Luis Pena,1036.83
Dennis Bermudez,1036.72
Melvin Guillard,1036.65
Evan Dunham,1036.62
HyunSung Park,1036.52
Themba Gorimbo,1036.52
Jeremiah Wells,1036.15
Ricardo Ramos,1036.12
Julio Arce,1036.08
Manuel Torres,1035.93
JJ Aldrich,1035.9
Claudio Puelles,1035.82
Constantinos Philippou,1035.73
Melsik Baghdasaryan,1035.59
Dan Henderson,1035.45
Cezar Ferreira,1035.38
Ronaldo Rodriguez,1035.38
Tom Breese,1035.14
Marco Ruas,1035.13
Jack Jenkins,1035.08
Diego Brandao,1034.98
Albert Tumenov,1034.93
Loopy Godinez,1034.76
Magnus Cedenblad,1034.55
Hakeem Dawodu,1034.5
Brian Ebersole,1034.25
Ben Rothwell,1034.21
Holly Holm,1033.92
George Sotiropoulos,1033.72
Marcus Davis,1033.63
Luana Santos,1033.58
Daniel Kelly,1033.52
Cody Durden,1033.45
Gerald Harris,1033.39
Ramazan Emeev,1033.39
Vanessa Demopoulos,1033.16
Nicolae Negumereanu,1032.78
CB Dollaway,1032.77
Mike Russow,1032.51
Billy Quarantillo,1032.48
Thiago Moises,1032.3
Norman Parke,1032.15
Jordan Mein,1032.03
Taila Santos,1031.86
Travis Browne,1031.85
Zubaira Tukhugov,1031.43
Niko Price,1031.4
Iuri Alcantara,1031.29
Gleison Tibau,1031.19
Paul Daley,1031.16
Manel Kape,1031.11
Ricardo Almeida,1030.97
Tim Kennedy,1030.94
Youssef Zalal,1030.92
Karl Williams,1030.55
Rafa Garcia,1030.5
Kevin Randleman,1030.4
Antonio Carlos Junior,1030.29
Ikram Aliskerov,1030.16
Wilson Gouveia,1029.93
Sara McMann,1029.89
Jorge Rivera,1029.67
Johnny Case,1029.65
Patrick Cote,1029.57
David Terrell,1029.18
Ali Bagautinov,1029.09
Paul Craig,1029.05
Ryan Spann,1028.92
Cathal Pendred,1028.59
Nordine Taleb,1028.14
Charles Johnson,1028.12
Nina Nunes,1027.92
Joe Lauzon,1027.61
Jeff Monson,1027.5
Mirsad Bektic,1027.5
Bruno Silva,1026.96
Miesha Tate,1026.95
Curtis Millender,1026.54
Ismael Bonfim,1026.47
Song Kenan,1026.45
Karolina Kowalkiewicz,1026.39
Claudio Silva,1026.32
Ken Shamrock,1025.99
John Makdessi,1025.87
Jacob Malkoun,1025.86
Shamil Gaziev,1025.86
John Castaneda,1025.8
Mark Coleman,1025.29
Davi Ramos,1025.25
Sergey Khandozhko,1025.24
Olivier Aubin-Mercier,1025.23
Damon Jackson,1025.03
Tecia Pennington,1024.66
Lucas Martins,1024.5
Douglas Silva de Andrade,1024.47
Saidyokub Kakhramonov,1024.43
Steve Erceg,1024.38
Kajan Johnson,1024.37
Maurice Smith,1024.33
Drew Fickett,1024.27
Bogdan Guskov,1024.15
Adriano Martins,1024.12
Jafel Filho,1023.77
Nursulton Ruziboev,1023.69
Chad Laprise,1023.59
Felipe Lima,1023.52
Thiago Alves,1023.49
Joanne Wood,1023.49
Daniel Santos,1023.39
Rafael Natal,1023.38
Takeya Mizugaki,1023.35
Kayla Harrison,1023.26
Maiquel Falcao,1023.23
Allan Nascimento,1023.2
Khalid Murtazaliev,1023.19
Carlos Condit,1023.07
Brendan Schaub,1023.0
Ketlen Souza,1022.92
Trey Ogden,1022.91
Kenichi Yamamoto,1022.7
Timur Valiev,1022.62
Denise Gomes,1022.41
Che Mills,1022.31
Sergey Morozov,1022.27
Sanae Kikuta,1022.17
Wilson Reis,1022.05
Kevin Jousset,1022.04
Todd Duffee,1022.02
Dooho Choi,1021.89
Nora Cornolle,1021.72
Timothy Johnson,1021.7
Viviane Araujo,1021.66
Danny Silva,1021.37
Alexis Davis,1021.23
Ikuhisa Minowa,1021.22
Lee Murray,1021.22
Dmitry Sosnovskiy,1021.2
Mark Schultz,1021.15
Morgan Charriere,1021.15
Stephanie Luciano,1021.15
Leslie Smith,1021.08
Jonny Parsons,1021.02
Javier Vazquez,1020.94
Scott Ferrozzo,1020.92
Steve Bosse,1020.92
Hermes Franca,1020.87
Augusto Sakai,1020.87
Wang Guan,1020.67
Mauricio Ruffy,1020.65
Jennifer Maia,1020.6
Magomed Mustafaev,1020.48
Tim Means,1020.47
Remco Pardoel,1020.46
Armen Petrosyan,1020.44
Mark Hall,1020.32
Mayra Bueno Silva,1020.25
Isaac Dulgarian,1020.16
Jean Matsumoto,1020.15
Tim Boetsch,1020.11
Carlos Felipe,1020.11
Brad Riddell,1020.08
Rei Tsuruya,1020.06
Brian Foster,1020.04
Gerard Gordeau,1020.0
Frank Hamaker,1020.0
Jon Hess,1020.0
Onassis Parungao,1020.0
Rafael Carino,1020.0
Justin Martin,1020.0
Yoshiki Takahashi,1020.0
Enson Inoue,1020.0
Kazushi Sakuraba,1020.0
Cesar Marscucci,1020.0
Tulio Palhares,1020.0
Sione Latu,1020.0
Marcelo Mello,1020.0
Scott Adams,1020.0
Bob Cook,1020.0
Ben Earwood,1020.0
Mark Hughes,1020.0
Jonathan Wiezorek,1020.0
Tom Murphy,1020.0
Logan Clark,1020.0
Aliaskhab Khizriev,1020.0
Ramon Taveras,1020.0
Bolaji Oki,1020.0
Zhang Mingyang,1020.0
Victor Hugo,1020.0
ChangHo Lee,1020.0
Mairon Santos,1020.0
Ryan Loder,1020.0
Nathan Fletcher,1020.0
Mikey Burnett,1019.93
Paul Sass,1019.93
Tyson Griffin,1019.9
Yanal Ashmouz,1019.83
Zachary Reese,1019.82
Veronica Hardy,1019.74
Ian Freeman,1019.66
Chris Duncan,1019.62
Dustin Jacoby,1019.6
Tom Lawlor,1019.46
Aspen Ladd,1019.44
Nurullo Aliev,1019.33
Rodolfo Bellato,1019.27
Ariane da Silva,1019.15
Ebenezer Fontes Braga,1018.98
Clayton Carpenter,1018.98
MarQuel Mederos,1018.98
Genki Sudo,1018.92
Ariane Carnelossi,1018.92
Steve Nelmark,1018.89
Sam Patterson,1018.87
