Fighter,Peak Elo
Terry Etim,1059.49
Mark Bocek,1059.45
Kajan Johnson,1059.44
Paul Sass,1059.43
Montana De La Rosa,1059.37
Alberto Mina,1059.34
Matt Frevola,1059.29
Steve Erceg,1059.28
Askar Askarov,1059.21
Claude Patrick,1059.13
Mike Easton,1059.05
Andrea Lee,1059.03
David Onama,1058.97
Luke Barnatt,1058.91
Nick Diaz,1058.88
Tim Credeur,1058.85
Rony Jason,1058.85
Javid Basharat,1058.83
Joe Duffy,1058.81
Kyle Kingsbury,1058.73
Akira Corassani,1058.73
Marcus Brimage,1058.72
Mickey Gall,1058.61
Mitch Gagnon,1058.51
Kennedy Nzechukwu,1058.38
Nate Maness,1058.31
Gavin Tucker,1058.3
Makhmud Muradov,1058.29
Jose Quinonez,1058.27
Aspen Ladd,1058.27
Diego Brandao,1058.23
Gerald Meerschaert,1058.2
Caio Magalhaes,1058.15
Elias Silverio,1058.05
Jacqueline Cavalcanti,1058.03
Bartosz Fabinski,1058.01
Dean Lister,1057.97
Phil Hawes,1057.91
Magnus Cedenblad,1057.85
Joaquim Silva,1057.81
Eliot Marshall,1057.78
Tom Breese,1057.74
Paige VanZant,1057.71
Jeremy Kennedy,1057.71
Dan Miller,1057.58
Brett Johns,1057.56
Roland Delorme,1057.47
Cameron Saaiman,1057.42
Abdul Razak Alhassan,1057.35
Joe Pyfer,1057.29
Antonio Rodrigo Nogueira,1057.09
Joshua Burkman,1057.03
Viviane Araujo,1056.98
Brad Blackburn,1056.96
Kiichi Kunimoto,1056.96
Billy Quarantillo,1056.87
Manuel Torres,1056.85
Andre Lima,1056.77
Valerie Letourneau,1056.76
Nick Hein,1056.73
David Dvorak,1056.72
Kendall Grove,1056.69
Bethe Correia,1056.69
Shonie Carter,1056.62
Jake O'Brien,1056.62
Gerald Harris,1056.62
Justin Ledet,1056.62
Paulo Thiago,1056.5
Payton Talbott,1056.47
Oban Elliott,1056.43
Jason Lambert,1056.4
Josiane Nunes,1056.3
Roosevelt Roberts,1056.27
Amir Sadollah,1056.23
Themba Gorimbo,1056.23
Tagir Ulanbekov,1055.91
Gabriel Benitez,1055.79
Luana Santos,1055.28
Court McGee,1055.24
Vanessa Demopoulos,1055.09
Michal Oleksiejczuk,1055.04
Ailin Perez,1055.01
Robert Peralta,1054.91
Nicolae Negumereanu,1054.88
Marc Diakiese,1054.85
Maryna Moroz,1054.81
Maurice Greene,1054.72
Marco Polo Reyes,1054.6
Manny Bermudez,1054.56
Jeff Molina,1054.43
Rinya Nakamura,1054.38
Thiago Moises,1054.36
Ben Nguyen,1054.24
Raul Rosas Jr.,1054.08
Erick Silva,1053.99
Rodolfo Vieira,1053.94
Mohammed Usman,1053.77
Daron Cruickshank,1053.51
Danny Roberts,1052.96
Joshua Van,1052.95
Luana Pinheiro,1052.9
Ricardo Almeida,1052.5
Karl Williams,1052.48
Jorge Rivera,1052.39
Molly McCann,1051.91
Song Kenan,1051.68
Victor Henry,1051.48
Chris Lytle,1051.33
Cody Durden,1050.87
Chase Hooper,1050.72
Jeremy Horn,1049.98
Michael Graves,1049.37
Aleksei Kunchenko,1049.13
Matt Serra,1048.83
Ian Heinisch,1048.7
Bill Algeo,1048.63
Stephan Bonnar,1048.35
Yana Santos,1048.2
Jordan Mein,1047.82
Manel Kape,1047.63
Nazim Sadykhov,1047.55
Kevin Randleman,1047.23
Matt Schnell,1047.2
Sean Pierson,1047.1
Paul Daley,1047.04
Maurice Smith,1047.0
